bin_start,bin_end,count,pct
0,10,0,0.0
10,20,2,0.0016
20,30,24,0.0195
30,40,33,0.0268
40,50,75,0.0609
50,60,88,0.0714
60,70,84,0.0682
70,80,92,0.0747
80,90,89,0.0722
90,100,78,0.0633
100,110,100,0.0812
110,120,74,0.0601
120,130,68,0.0552
130,140,70,0.0568
140,150,51,0.0414
150,160,35,0.0284
160,170,41,0.0333
170,180,33,0.0268
180,190,39,0.0317
190,200,22,0.0179
200,210,18,0.0146
210,220,21,0.017
220,230,18,0.0146
230,240,8,0.0065
240,250,12,0.0097
250,260,10,0.0081
260,270,6,0.0049
270,280,4,0.0032
280,290,8,0.0065
290,300,5,0.0041
300,310,3,0.0024
310,320,4,0.0032
320,330,2,0.0016
330,340,3,0.0024
340,350,2,0.0016
350,360,2,0.0016
360,370,2,0.0016
370,380,0,0.0
380,390,0,0.0
390,400,2,0.0016
400,410,1,0.0008
410,420,0,0.0
420,430,1,0.0008
430,440,0,0.0
440,450,1,0.0008
450,460,0,0.0
460,470,0,0.0
470,480,0,0.0
480,490,1,0.0008
490,500,0,0.0
